1965 	0.122 	0.177 	0.213 	0.249 	0.287 	0.303 	0.287 	   
1966 	0.122 	0.178 	0.212 	0.248 	0.29 	0.297 	0.286 	   
1967 	0.122 	0.178 	0.213 	0.248 	0.29 	0.295 	0.289 	   
1968 	0.128 	0.179 	0.213 	0.249 	0.291 	0.298 	0.287 	   
1969 	0.121 	0.178 	0.214 	0.249 	0.29 	0.295 	0.285 	   
1970 	0.121 	0.175 	0.213 	0.249 	0.29 	0.299 	0.284 	   
1971 	0.12 	0.177 	0.211 	0.248 	0.29 	0.299 	0.284 	   
1972 	0.121 	0.177 	0.213 	0.248 	0.289 	0.301 	0.281 	   
1973 	0.123 	0.176 	0.215 	0.252 	0.288 	0.301 	0.285 	   
1974 	0.119 	0.177 	0.214 	0.25 	0.285 	0.299 	0.288 	   
1975 	0.119 	0.176 	0.213 	0.25 	0.286 	0.301 	0.278 	   
1976 	0.116 	0.177 	0.213 	0.249 	0.288 	0.3 	0.28 	   
1977 	0.118 	0.177 	0.214 	0.249 	0.289 	0.299 	0.282 	   
1978 	0.135 	0.167 	0.199 	0.288 	0.32 	0.238 	0 	   
1979 	0.173 	0.188 	0.208 	0.215 	0.281 	0 	0 	   
1980 	0.14 	0.179 	0.208 	0.22 	0.271 	0.386 	0 	   
1981 	0.108 	0.16 	0.195 	0.298 	0.286 	0.295 	0 	   
1982 	0.096 	0.18 	0.209 	0.243 	0.283 	0.44 	0 	   
1983 	0.141 	0.186 	0.228 	0.237 	0.267 	0.267 	0 	   
1984 	0.087 	0.199 	0.246 	0.26 	0.259 	0.303 	0.227 	   
1985 	0.102 	0.191 	0.237 	0.286 	0.326 	0.312 	0.316 	   
1986 	0.092 	0.17 	0.196 	0.245 	0.258 	0.33 	0.263 	   
1987 	0.085 	0.182 	0.233 	0.249 	0.225 	0 	0 	   
1988 	0.076 	0.143 	0.203 	0.227 	0.262 	0 	0 	   
1989 	0.099 	0.177 	0.205 	0.209 	0.294 	0.305 	0 	   
1990 	0.124 	0.171 	0.214 	0.219 	0.237 	0.264 	0 	   
1991 	0.085 	0.169 	0.205 	0.223 	0.226 	0.281 	0 	   
1992 	0.109 	0.173 	0.219 	0.227 	0 	0 	0 	   
1993 	0.118 	0.197 	0.225 	0.242 	0.256 	0 	0.436 	   
1994 	0.087 	0.157 	0.22 	0.283 	0.297 	0.253 	0.299 	   
1995 	0.075 	0.154 	0.189 	0.246 	0.278 	0.597 	0.493 	   
1996 	0.095 	0.18 	0.203 	0.229 	0.302 	0.421 	0.26 	   
1997 	0.112 	0.182 	0.221 	0.235 	0.243 	0.422 	0.819 	   
1998 	0.098 	0.179 	0.225 	0.254 	0.282 	0.264 	0.245 	   
1999 	0.077 	0.168 	0.217 	0.205 	0.266 	0.268 	0 	   
2000 	0.075 	0.164 	0.203 	0.233 	0.282 	0.25 	0 	   
2001 	0.094 	0.154 	0.196 	0.203 	0.381 	0 	0 	   
2002 	0.073 	0.162 	0.212 	0.245 	0.24 	0.295 	0.276 	   
2003 	0.077 	0.177 	0.231 	0.242 	0.213 	0.3 	0.278 	   
2004 	0.086 	0.186 	0.236 	0.246 	0.304 	0.349 	0.314 	   
2005 	0.088 	0.149 	0.223 	0.214 	0.315 	0.292 	0.373 	   
2006 	0.046 	0.197 	0.235 	0.295 	0.322 	0.518 	0.362 	   
2007 	0.059 	0.159 	0.225 	0.226 	0.334 	0.794 	0.266 	   
2008 	0.075 	0.211 	0.286 	0.301 	0.397 	0.222 	0.304 	   
2009 	0.051 	0.288 	0.227 	0.262 	0.248 	0.253 	0.000 	   
2010 	0.038 	0.124 	0.269 	0.375 	0.376 	0.401 	0.964 	 
